score_index,latent_row,window_id,structure_id,structure_type,center_distance_bp
1529,1529,WT_rep1__scan_1529000,CHIN_88,CHIN,330
1531,1531,WT_rep1__scan_1531000,CHIN_89,CHIN,80
1567,1567,WT_rep1__scan_1567000,CHIN_90,CHIN,60
1576,1576,WT_rep1__scan_1576000,CHIN_91,CHIN,120
1579,1579,WT_rep1__scan_1579000,CHIN_92,CHIN,440
1583,1583,WT_rep1__scan_1583000,CHIN_93,CHIN,260
1588,1588,WT_rep1__scan_1588000,CHIN_94,CHIN,270
1597,1597,WT_rep1__scan_1597000,CHIN_95,CHIN,450
1616,1616,WT_rep1__scan_1616000,CHIN_96,CHIN,220
1632,1632,WT_rep1__scan_1632000,CHIN_97,CHIN,220
1638,1638,WT_rep1__scan_1638000,CHIN_98,CHIN,30
1648,1648,WT_rep1__scan_1648000,CHIN_99,CHIN,130
1754,1754,WT_rep1__scan_1754000,CHIN_100,CHIN,330
1773,1773,WT_rep1__scan_1773000,CHIN_101,CHIN,80
1776,1776,WT_rep1__scan_1776000,CHIN_102,CHIN,220
1804,1804,WT_rep1__scan_1804000,CHIN_103,CHIN,40
1844,1844,WT_rep1__scan_1844000,CHIN_104,CHIN,500
1854,1854,WT_rep1__scan_1854000,CHIN_105,CHIN,400
1857,1857,WT_rep1__scan_1857000,CHIN_106,CHIN,300
1871,1871,WT_rep1__scan_1871000,CHIN_107,CHIN,30
1872,1872,WT_rep1__scan_1872000,CHIN_108,CHIN,100
2012,2012,WT_rep1__scan_2012000,CHIN_109,CHIN,310
2024,2024,WT_rep1__scan_2024000,CHIN_110,CHIN,70
2037,2037,WT_rep1__scan_2037000,CHIN_111,CHIN,440
2053,2053,WT_rep1__scan_2053000,CHIN_112,CHIN,120
2057,2057,WT_rep1__scan_2057000,CHIN_113,CHIN,90
2104,2104,WT_rep1__scan_2104000,CHIN_114,CHIN,320
2104,2104,WT_rep1__scan_2104000,CHIN_115,CHIN,430
2105,2105,WT_rep1__scan_2105000,CHIN_116,CHIN,310
2106,2106,WT_rep1__scan_2106000,CHIN_117,CHIN,310
2107,2107,WT_rep1__scan_2107000,CHIN_118,CHIN,480
2107,2107,WT_rep1__scan_2107000,CHIN_119,CHIN,70
2108,2108,WT_rep1__scan_2108000,CHIN_120,CHIN,190
2110,2110,WT_rep1__scan_2110000,CHIN_121,CHIN,150
2115,2115,WT_rep1__scan_2115000,CHIN_122,CHIN,310
2130,2130,WT_rep1__scan_2130000,CHIN_123,CHIN,470
2169,2169,WT_rep1__scan_2169000,CHIN_124,CHIN,50
2171,2171,WT_rep1__scan_2171000,CHIN_125,CHIN,360
2174,2174,WT_rep1__scan_2174000,CHIN_126,CHIN,340
2179,2179,WT_rep1__scan_2179000,CHIN_127,CHIN,170
2188,2188,WT_rep1__scan_2188000,CHIN_128,CHIN,70
2189,2189,WT_rep1__scan_2189000,CHIN_129,CHIN,60
2190,2190,WT_rep1__scan_2190000,CHIN_130,CHIN,70
2191,2191,WT_rep1__scan_2191000,CHIN_131,CHIN,390
2234,2234,WT_rep1__scan_2234000,CHIN_132,CHIN,380
2239,2239,WT_rep1__scan_2239000,CHIN_133,CHIN,480
2255,2255,WT_rep1__scan_2255000,CHIN_134,CHIN,470
2259,2259,WT_rep1__scan_2259000,CHIN_135,CHIN,350
2344,2344,WT_rep1__scan_2344000,CHIN_136,CHIN,10
2384,2384,WT_rep1__scan_2384000,CHIN_137,CHIN,140
2386,2386,WT_rep1__scan_2386000,CHIN_138,CHIN,390
2387,2387,WT_rep1__scan_2387000,CHIN_139,CHIN,300
2455,2455,WT_rep1__scan_2455000,CHIN_140,CHIN,490
2463,2463,WT_rep1__scan_2463000,CHIN_141,CHIN,480
2482,2482,WT_rep1__scan_2482000,CHIN_142,CHIN,340
2484,2484,WT_rep1__scan_2484000,CHIN_143,CHIN,120
2485,2485,WT_rep1__scan_2485000,CHIN_144,CHIN,490
2487,2487,WT_rep1__scan_2487000,CHIN_145,CHIN,260
2489,2489,WT_rep1__scan_2489000,CHIN_146,CHIN,490
2493,2493,WT_rep1__scan_2493000,CHIN_147,CHIN,110
2629,2629,WT_rep1__scan_2629000,CHIN_148,CHIN,410
2654,2654,WT_rep1__scan_2654000,CHIN_149,CHIN,250
2700,2700,WT_rep1__scan_2700000,CHIN_150,CHIN,290
2759,2759,WT_rep1__scan_2759000,CHIN_151,CHIN,410
2760,2760,WT_rep1__scan_2760000,CHIN_152,CHIN,480
2774,2774,WT_rep1__scan_2774000,CHIN_153,CHIN,270
2783,2783,WT_rep1__scan_2783000,CHIN_154,CHIN,470
2785,2785,WT_rep1__scan_2785000,CHIN_155,CHIN,360
2787,2787,WT_rep1__scan_2787000,CHIN_156,CHIN,240
2788,2788,WT_rep1__scan_2788000,CHIN_157,CHIN,30
2798,2798,WT_rep1__scan_2798000,CHIN_158,CHIN,70
2805,2805,WT_rep1__scan_2805000,CHIN_159,CHIN,50
2884,2884,WT_rep1__scan_2884000,CHIN_160,CHIN,320
2900,2900,WT_rep1__scan_2900000,CHIN_161,CHIN,70
2905,2905,WT_rep1__scan_2905000,CHIN_162,CHIN,20
2934,2934,WT_rep1__scan_2934000,CHIN_163,CHIN,180
2987,2987,WT_rep1__scan_2987000,CHIN_164,CHIN,170
2989,2989,WT_rep1__scan_2989000,CHIN_165,CHIN,420
2992,2992,WT_rep1__scan_2992000,CHIN_166,CHIN,120
2995,2995,WT_rep1__scan_2995000,CHIN_167,CHIN,20
2997,2997,WT_rep1__scan_2997000,CHIN_168,CHIN,100
3054,3054,WT_rep1__scan_3054000,CHIN_169,CHIN,480
3078,3078,WT_rep1__scan_3078000,CHIN_170,CHIN,170
3187,3187,WT_rep1__scan_3187000,CHIN_171,CHIN,280
3188,3188,WT_rep1__scan_3188000,CHIN_172,CHIN,270
3189,3189,WT_rep1__scan_3189000,CHIN_173,CHIN,500
3190,3190,WT_rep1__scan_3190000,CHIN_174,CHIN,360
3191,3191,WT_rep1__scan_3191000,CHIN_175,CHIN,90
3192,3192,WT_rep1__scan_3192000,CHIN_176,CHIN,180
3206,3206,WT_rep1__scan_3206000,CHIN_177,CHIN,110
3227,3227,WT_rep1__scan_3227000,CHIN_178,CHIN,60
3263,3263,WT_rep1__scan_3263000,CHIN_179,CHIN,50
3266,3266,WT_rep1__scan_3266000,CHIN_180,CHIN,310
3269,3269,WT_rep1__scan_3269000,CHIN_181,CHIN,230
3288,3288,WT_rep1__scan_3288000,CHIN_182,CHIN,70
3321,3321,WT_rep1__scan_3321000,CHIN_183,CHIN,420
3331,3331,WT_rep1__scan_3331000,CHIN_184,CHIN,470
3362,3362,WT_rep1__scan_3362000,CHIN_185,CHIN,350
3413,3413,WT_rep1__scan_3413000,CHIN_186,CHIN,370
3583,3583,WT_rep1__scan_3583000,CHIN_187,CHIN,440
3584,3584,WT_rep1__scan_3584000,CHIN_188,CHIN,130
3633,3633,WT_rep1__scan_3633000,CHIN_189,CHIN,350
3633,3633,WT_rep1__scan_3633000,CHIN_190,CHIN,70
3634,3634,WT_rep1__scan_3634000,CHIN_191,CHIN,150
3635,3635,WT_rep1__scan_3635000,CHIN_192,CHIN,140
3653,3653,WT_rep1__scan_3653000,CHIN_193,CHIN,440
3654,3654,WT_rep1__scan_3654000,CHIN_194,CHIN,320
3657,3657,WT_rep1__scan_3657000,CHIN_195,CHIN,140
3658,3658,WT_rep1__scan_3658000,CHIN_196,CHIN,270
3665,3665,WT_rep1__scan_3665000,CHIN_197,CHIN,150
3674,3674,WT_rep1__scan_3674000,CHIN_198,CHIN,500
3721,3721,WT_rep1__scan_3721000,CHIN_199,CHIN,190
3732,3732,WT_rep1__scan_3732000,CHIN_200,CHIN,70
3745,3745,WT_rep1__scan_3745000,CHIN_201,CHIN,150
3767,3767,WT_rep1__scan_3767000,CHIN_202,CHIN,270
3769,3769,WT_rep1__scan_3769000,CHIN_203,CHIN,230
3790,3790,WT_rep1__scan_3790000,CHIN_204,CHIN,300
3798,3798,WT_rep1__scan_3798000,CHIN_205,CHIN,40
3798,3798,WT_rep1__scan_3798000,CHIN_206,CHIN,440
3799,3799,WT_rep1__scan_3799000,CHIN_207,CHIN,40
3800,3800,WT_rep1__scan_3800000,CHIN_208,CHIN,120
3800,3800,WT_rep1__scan_3800000,CHIN_209,CHIN,410
3802,3802,WT_rep1__scan_3802000,CHIN_210,CHIN,340
3802,3802,WT_rep1__scan_3802000,CHIN_211,CHIN,270
3803,3803,WT_rep1__scan_3803000,CHIN_212,CHIN,470
3803,3803,WT_rep1__scan_3803000,CHIN_213,CHIN,260
3806,3806,WT_rep1__scan_3806000,CHIN_214,CHIN,450
3806,3806,WT_rep1__scan_3806000,CHIN_215,CHIN,30
3837,3837,WT_rep1__scan_3837000,CHIN_216,CHIN,400
3844,3844,WT_rep1__scan_3844000,CHIN_217,CHIN,460
3875,3875,WT_rep1__scan_3875000,CHIN_218,CHIN,460
3902,3902,WT_rep1__scan_3902000,CHIN_219,CHIN,320
3906,3906,WT_rep1__scan_3906000,CHIN_220,CHIN,250
4063,4063,WT_rep1__scan_4063000,CHIN_221,CHIN,500
4064,4064,WT_rep1__scan_4064000,CHIN_222,CHIN,210
4065,4065,WT_rep1__scan_4065000,CHIN_223,CHIN,300
4215,4215,WT_rep1__scan_4215000,CHIN_224,CHIN,460
4222,4222,WT_rep1__scan_4222000,CHIN_225,CHIN,470
4251,4251,WT_rep1__scan_4251000,CHIN_226,CHIN,440
4261,4261,WT_rep1__scan_4261000,CHIN_227,CHIN,160
4269,4269,WT_rep1__scan_4269000,CHIN_228,CHIN,230
4283,4283,WT_rep1__scan_4283000,CHIN_229,CHIN,490
4311,4311,WT_rep1__scan_4311000,CHIN_230,CHIN,440
4338,4338,WT_rep1__scan_4338000,CHIN_231,CHIN,320
4360,4360,WT_rep1__scan_4360000,CHIN_232,CHIN,290
4384,4384,WT_rep1__scan_4384000,CHIN_233,CHIN,200
4411,4411,WT_rep1__scan_4411000,CHIN_234,CHIN,230
4427,4427,WT_rep1__scan_4427000,CHIN_235,CHIN,260
4476,4476,WT_rep1__scan_4476000,CHIN_236,CHIN,270
4480,4480,WT_rep1__scan_4480000,CHIN_237,CHIN,140
4496,4496,WT_rep1__scan_4496000,CHIN_238,CHIN,440
4504,4504,WT_rep1__scan_4504000,CHIN_239,CHIN,290
4505,4505,WT_rep1__scan_4505000,CHIN_240,CHIN,430
4525,4525,WT_rep1__scan_4525000,CHIN_241,CHIN,460
4539,4539,WT_rep1__scan_4539000,CHIN_242,CHIN,400
4540,4540,WT_rep1__scan_4540000,CHIN_243,CHIN,120
4541,4541,WT_rep1__scan_4541000,CHIN_244,CHIN,500
4545,4545,WT_rep1__scan_4545000,CHIN_245,CHIN,470
4556,4556,WT_rep1__scan_4556000,CHIN_246,CHIN,10
4578,4578,WT_rep1__scan_4578000,CHIN_247,CHIN,120
4595,4595,WT_rep1__scan_4595000,CHIN_248,CHIN,370
4604,4604,WT_rep1__scan_4604000,CHIN_249,CHIN,180
4617,4617,WT_rep1__scan_4617000,CHIN_250,CHIN,60
153,153,WT_rep1__scan_0153000,CHID_1,CHID,480
315,315,WT_rep1__scan_0315000,CHID_2,CHID,420
565,565,WT_rep1__scan_0565000,CHID_3,CHID,240
580,580,WT_rep1__scan_0580000,CHID_4,CHID,50
875,875,WT_rep1__scan_0875000,CHID_5,CHID,250
1095,1095,WT_rep1__scan_1095000,CHID_6,CHID,100
1214,1214,WT_rep1__scan_1214000,CHID_7,CHID,445
1545,1545,WT_rep1__scan_1545000,CHID_8,CHID,70
1588,1588,WT_rep1__scan_1588000,CHID_9,CHID,450
1775,1775,WT_rep1__scan_1775000,CHID_10,CHID,15
2106,2106,WT_rep1__scan_2106000,CHID_11,CHID,130
2190,2190,WT_rep1__scan_2190000,CHID_12,CHID,195
2386,2386,WT_rep1__scan_2386000,CHID_13,CHID,195
2486,2486,WT_rep1__scan_2486000,CHID_14,CHID,470
2759,2759,WT_rep1__scan_2759000,CHID_15,CHID,355
2785,2785,WT_rep1__scan_2785000,CHID_16,CHID,290
2992,2992,WT_rep1__scan_2992000,CHID_17,CHID,425
3188,3188,WT_rep1__scan_3188000,CHID_18,CHID,275
3634,3634,WT_rep1__scan_3634000,CHID_19,CHID,395
3655,3655,WT_rep1__scan_3655000,CHID_20,CHID,160
3768,3768,WT_rep1__scan_3768000,CHID_21,CHID,175
3803,3803,WT_rep1__scan_3803000,CHID_22,CHID,365
4063,4063,WT_rep1__scan_4063000,CHID_23,CHID,250
4506,4506,WT_rep1__scan_4506000,CHID_24,CHID,465
4540,4540,WT_rep1__scan_4540000,CHID_25,CHID,195
4579,4579,WT_rep1__scan_4579000,CHID_26,CHID,115
